监测时间,水温,pH,高锰酸盐指数,氨氮,总磷,总氮,溶解氧
2020-12-05 04:00:00,2.9,8.43,3.92,1.0245,0.095,9.24,11.485
2020-12-05 08:00:00,2.7,8.4,3.995,1.0825,0.099,9.265,11.34
2020-12-05 12:00:00,3.2,8.52,4.29,0.9915,0.098,8.995,13.085
2020-12-05 16:00:00,3.75,8.585,4.69,0.918,0.0945,8.91,13.9
2020-12-05 20:00:00,3.6,8.53,4.27,0.9405,0.0925,8.82,12.745
2020-12-06 00:00:00,3.35,8.495,4.27,0.9405,0.0925,8.82,12.005
2020-12-06 04:00:00,5.6,8.36,6.05,1.153,0.146,10.43,11.81
2020-12-06 08:00:00,5.2,8.31,5.66,1.149,0.137,11.13,11.44
2020-12-06 12:00:00,6.2,8.43,6.37,1.102,0.144,10.82,13.85
2020-12-06 16:00:00,4.1,8.56,4.12,0.9575,0.0865,9.19,13.67
2020-12-06 20:00:00,3.75,8.475,3.835,0.9085,0.0875,8.9,12.38
2020-12-07 00:00:00,3.55,8.45,3.835,0.9085,0.0875,8.9,11.79
2020-12-07 04:00:00,3.15,8.415,3.69,0.9415,0.0935,8.99,11.465
2020-12-07 08:00:00,2.95,8.385,3.695,0.9605,0.09,9.1,11.335
2020-12-07 12:00:00,3.3,8.465,3.955,0.911,0.0955,8.915,12.57
2020-12-07 16:00:00,3.9,8.545,4.275,1.0595,0.0905,9.115,13.545
2020-12-07 20:00:00,3.35,8.495,4.18,1.03,0.086,9.3,12.39
2020-12-08 00:00:00,3,8.43,4.18,1.03,0.086,9.3,11.225
2020-12-08 04:00:00,2.85,8.4,3.855,0.995,0.0795,9.335,10.79
2020-12-08 08:00:00,2.8,8.385,3.825,0.9255,0.0745,9.495,10.91
2020-12-08 12:00:00,3.2,8.465,3.97,0.841,0.072,9.825,12.385
2020-12-08 16:00:00,3.5,8.525,4.46,0.802,0.0745,8.83,13.48
2020-12-08 20:00:00,3.4,8.495,4.265,0.6995,0.073,8.775,12.745
2020-12-09 00:00:00,3.35,8.46,4.265,0.6995,0.073,8.775,12.185
2020-12-09 04:00:00,3.5,8.43,3.84,0.5415,0.069,8.34,11.77
2020-12-09 08:00:00,3.5,8.395,3.85,0.5765,0.0705,8.72,11.47
2020-12-09 12:00:00,3.8,8.525,4.25,0.453,0.071,8.515,13.505
2020-12-09 16:00:00,4.4,8.63,4.72,0.454,0.07,8.215,15.19
2020-12-09 20:00:00,3.8,8.59,4.395,0.4615,0.07,8.16,13.615
2020-12-10 00:00:00,3.4,8.535,4.395,0.4615,0.07,8.16,12.65
2020-12-10 04:00:00,3.05,8.46,3.93,0.472,0.066,8.185,11.985
2020-12-10 08:00:00,2.8,8.41,3.955,0.5155,0.0625,8.455,11.645
2020-12-10 12:00:00,3.25,8.525,4.37,0.499,0.064,8.185,13.69
2020-12-10 16:00:00,3.9,8.635,5.01,0.4985,0.0665,8.015,15.58
2020-12-10 20:00:00,3.5,8.605,4.715,0.5375,0.0655,8.375,14.035
2020-12-11 00:00:00,3.2,8.55,4.715,0.5375,0.0655,8.375,12.93
2020-12-11 04:00:00,2.9,8.495,4.31,0.523,0.067,8.335,12.165
2020-12-11 08:00:00,2.9,8.445,4.255,0.57,0.064,8.83,11.765
2020-12-11 12:00:00,3.25,8.585,4.865,0.4355,0.0695,8.33,13.97
2020-12-11 16:00:00,3.75,8.625,4.95,0.3785,0.0665,7.94,14.545
2020-12-11 20:00:00,3.35,8.515,4.375,0.3815,0.0645,8.035,12.42
2020-12-12 00:00:00,3.05,8.43,4.375,0.3815,0.0645,8.035,11.39
2020-12-12 04:00:00,2.75,8.37,3.99,0.5225,0.065,7.95,10.845
2020-12-12 08:00:00,2.6,8.345,4.12,0.5975,0.0635,8.695,10.69
2020-12-12 12:00:00,3.15,8.44,4.28,0.516,0.066,8.01,12.175
2020-12-12 16:00:00,4,8.615,5.205,0.347,0.08,8.045,14.365
2020-12-12 20:00:00,3.1,8.615,5.27,0.395,0.107,8.03,13.1
2020-12-13 00:00:00,2.85,8.505,5.27,0.395,0.107,8.03,11.5
2020-12-13 04:00:00,2.8,8.435,4.69,0.6315,0.0935,8.57,10.93
2020-12-13 08:00:00,2.65,8.465,4.595,0.6125,0.083,9.165,11.075
2020-12-13 12:00:00,3.1,8.59,4.66,0.426,0.0775,8.815,12.715
2020-12-13 16:00:00,3.3,8.68,5.055,0.3865,0.077,8.645,13.965
2020-12-13 20:00:00,2.95,8.645,5.125,0.4025,0.0795,8.515,13.1
2020-12-14 00:00:00,2.65,8.61,5.125,0.4025,0.0795,8.515,12.425
2020-12-14 04:00:00,2.5,8.555,4.885,0.394,0.078,8.77,11.89
2020-12-14 08:00:00,2.25,8.5,4.905,0.3825,0.077,9.41,11.69
2020-12-14 12:00:00,2.9,8.62,5.285,0.394,0.0785,8.815,14.045
2020-12-14 16:00:00,3.45,8.68,5.56,0.336,0.0805,8.655,15.305
2020-12-14 20:00:00,2.9,8.645,5.35,0.286,0.076,8.69,14.07
2020-12-15 00:00:00,2.35,8.585,5.35,0.286,0.076,8.69,12.91
2020-12-15 04:00:00,2,8.54,4.86,0.2715,0.072,8.405,12.295
2020-12-15 08:00:00,1.9,8.5,4.87,0.2745,0.068,8.81,11.98
2020-12-15 12:00:00,2.55,8.61,5.055,0.261,0.0715,8.565,14.105
2020-12-15 16:00:00,3.15,8.665,5.515,0.292,0.074,8.275,15.34
2020-12-15 20:00:00,2.5,8.565,5.115,0.4,0.0925,8.175,13.025
2020-12-16 00:00:00,2.2,8.555,5.115,0.4,0.0925,8.175,12.275
2020-12-16 04:00:00,1.85,8.435,5.005,0.8215,0.1215,8.425,11.25
2020-12-16 08:00:00,2.1,8.445,4.985,0.771,0.0935,9.26,11.285
2020-12-16 12:00:00,2.6,8.595,5.02,0.6165,0.085,8.835,12.75
2020-12-16 16:00:00,2.95,8.625,5.49,0.694,0.0835,9.085,13.575
2020-12-16 20:00:00,2.65,8.58,5.005,0.658,0.0765,8.895,12.65
2020-12-17 00:00:00,2.4,8.54,5.005,0.658,0.0765,8.895,12.09
2020-12-17 04:00:00,2.05,8.48,4.21,0.715,0.0685,9.17,11.69
2020-12-17 08:00:00,1.95,8.465,4.375,0.8085,0.0735,9.495,11.61
2020-12-17 12:00:00,2.6,8.57,4.565,0.7865,0.0715,9.38,13.205
2020-12-17 16:00:00,3,8.595,4.56,0.788,0.0715,9.05,13.515
2020-12-17 20:00:00,2.75,8.52,4.17,0.6535,0.0645,8.81,12.2
2020-12-18 00:00:00,2.35,8.435,4.17,0.6535,0.0645,8.81,11.205
2020-12-18 04:00:00,2.15,8.43,4.425,0.6105,0.067,8.565,11.08
2020-12-18 08:00:00,2.25,8.43,4.02,0.55,0.0645,9.125,11.26
2020-12-18 12:00:00,2.8,8.5,4.03,0.571,0.067,8.765,12.625
2020-12-18 16:00:00,3.25,8.535,3.825,0.6,0.068,8.715,13.1
2020-12-18 20:00:00,2.7,8.49,3.52,0.622,0.069,8.66,12.08
2020-12-19 00:00:00,2.45,8.465,3.52,0.622,0.069,8.66,11.71
2020-12-19 04:00:00,2,8.425,3.04,0.5625,0.0625,8.47,11.51
2020-12-19 08:00:00,1.95,8.4,3.055,0.6805,0.065,9.035,11.435
2020-12-19 12:00:00,2.65,8.44,3.34,0.931,0.076,9.145,12.26
2020-12-19 16:00:00,3.05,8.425,3.445,1.1095,0.0725,10.57,12.46
2020-12-19 20:00:00,2.7,8.44,4.09,1.995,0.068,10.59,11.825
2020-12-20 00:00:00,2.25,8.405,4.09,1.995,0.068,10.59,11.34
2020-12-20 04:00:00,2,8.36,6.53,2.462,0.087,14.56,11.03
2020-12-20 08:00:00,1.8,8.34,6.05,2.518,0.088,14.555,10.975
2020-12-20 12:00:00,2.55,8.385,5.32,2.423,0.084,12.975,11.86
2020-12-20 16:00:00,3.15,8.43,4.74,2.314,0.082,12.82,12.125
2020-12-20 20:00:00,2.65,8.415,4.41,2.2885,0.083,12.39,11.48
2020-12-21 00:00:00,2.2,8.39,3.96,2.2285,0.0815,11.915,11.23
2020-12-21 04:00:00,1.95,8.38,3.475,2.098,0.0745,11.175,11.205
2020-12-21 08:00:00,1.7,8.375,3.2,1.634,0.0665,10.565,11.18
2020-12-21 12:00:00,2.45,8.415,3.065,1.6055,0.0675,9.59,12
2020-12-21 16:00:00,3.1,8.445,3.22,1.682,0.075,9.795,12.17
2020-12-21 20:00:00,2.7,8.43,3.345,1.6795,0.0785,9.67,11.645
2020-12-22 00:00:00,2.3,8.4,3.275,1.6685,0.083,9.55,11.295
2020-12-22 04:00:00,2.05,8.37,3.255,1.558,0.082,9.475,11.08
2020-12-22 08:00:00,1.8,8.355,3.435,1.2615,0.0725,9.54,10.91
2020-12-22 12:00:00,2.4,8.4,3.555,1.084,0.1255,8.66,11.705
2020-12-22 16:00:00,3.15,8.46,3.535,1.1075,0.068,9.29,12.115
2020-12-22 20:00:00,2.85,8.465,3.62,1.144,0.0715,9.395,11.965
2020-12-23 00:00:00,2.55,8.44,3.755,1.272,0.079,9.605,11.615
2020-12-23 04:00:00,2.35,8.4,3.565,1.2305,0.0815,9.465,11.37
2020-12-23 08:00:00,2,8.385,3.66,1.1255,0.0755,9.87,11.33
2020-12-23 12:00:00,2.75,8.475,3.925,1.124,0.071,9.425,12.755
2020-12-23 16:00:00,3.35,8.54,4.035,1.016,0.0665,9.99,12.995
2020-12-23 20:00:00,3.05,8.545,3.97,0.904,0.0665,8.96,12.485
2020-12-24 00:00:00,2.65,8.51,3.78,0.9295,0.068,9.05,12.02
2020-12-24 04:00:00,2.25,8.43,3.81,1.0755,0.075,8.995,11.465
2020-12-24 08:00:00,2,8.375,3.9,1.154,0.0785,9.49,10.97
2020-12-24 12:00:00,2.65,8.405,3.995,1.165,0.0735,8.98,11.73
2020-12-24 16:00:00,3.35,8.425,4.08,1.1325,0.068,8.995,11.98
2020-12-24 20:00:00,2.9,8.445,3.915,1.012,0.063,8.99,11.625
2020-12-25 00:00:00,2.6,8.445,3.915,1.012,0.063,8.99,11.45
2020-12-25 04:00:00,2.25,8.42,3.84,0.9265,0.0595,8.905,11.25
2020-12-25 08:00:00,2,8.39,3.585,0.898,0.0575,9.26,11.145
2020-12-25 12:00:00,2.7,8.465,3.795,0.922,0.059,8.77,12.64
2020-12-25 16:00:00,3.4,8.55,4.16,1.0125,0.063,9.29,13.755
2020-12-25 20:00:00,2.95,8.525,4.1,0.948,0.0635,9.13,12.915
2020-12-26 00:00:00,2.6,8.485,4.1,0.948,0.0635,9.13,12.29
2020-12-26 04:00:00,2.4,8.43,3.935,1.041,0.078,9.09,11.715
2020-12-26 08:00:00,2.35,8.4,3.975,0.9805,0.0745,9,11.515
2020-12-26 12:00:00,2.55,8.48,4.1,1.132,0.091,8.86,12.595
2020-12-26 16:00:00,3.2,8.545,4.58,1.69,0.0905,9.69,13.245
2020-12-26 20:00:00,2.95,8.445,4.755,2.096,0.0985,9.99,11.465
2020-12-27 00:00:00,2.5,8.405,4.755,2.096,0.0985,9.99,10.945
2020-12-27 04:00:00,2.2,8.4,4.035,1.9245,0.087,10.06,11.175
2020-12-27 08:00:00,1.9,8.405,3.915,1.6945,0.084,9.95,11.205
2020-12-27 12:00:00,2.8,8.485,4.215,1.9605,0.091,9.98,12.63
2020-12-27 16:00:00,3.45,8.555,4.85,2.373,0.086,10.24,13.52
2020-12-27 20:00:00,3.15,8.515,4.7,2.5945,0.0925,10.78,12.44
2020-12-28 00:00:00,3,8.47,4.7,2.5945,0.0925,10.78,11.76
2020-12-28 04:00:00,2.75,8.415,3.925,2.1085,0.099,9.945,11.315
2020-12-28 08:00:00,2.65,8.35,4.365,1.929,0.125,9.475,10.73
2020-12-28 12:00:00,3.3,8.415,4.77,1.882,0.1535,9.215,11.545
2020-12-28 16:00:00,3.4,8.445,4.165,1.889,0.1185,9.385,11.91
2020-12-28 20:00:00,3.1,8.415,4.115,2.018,0.111,9.195,11.295
2020-12-29 00:00:00,3.25,8.395,4.115,2.018,0.111,9.195,11.1
2020-12-29 04:00:00,3.15,8.365,3.775,1.657,0.0915,8.84,10.995
2020-12-29 08:00:00,3,8.35,3.83,1.8455,0.081,9.715,10.975
2020-12-29 12:00:00,3.3,8.42,4.185,1.9555,0.0935,9.48,12.115
2020-12-29 16:00:00,3.4,8.5,4.42,1.9665,0.1075,9.49,13.045
2020-12-29 20:00:00,2.95,8.48,4.355,1.9925,0.1105,9.805,12.205
2020-12-30 00:00:00,2.55,8.45,4.355,1.9925,0.1105,9.805,11.735
2020-12-30 04:00:00,2.05,8.415,4.205,1.6565,0.099,9.655,11.39
2020-12-30 08:00:00,1.9,8.39,3.91,1.3955,0.0925,9.475,11.375
2020-12-30 12:00:00,2.3,8.455,3.965,1.2495,0.094,9.065,12.6
2020-12-30 16:00:00,2.65,8.52,4.195,1.084,0.0825,8.855,13.165
2020-12-30 20:00:00,2,8.47,4.065,1.078,0.074,9.045,11.885
2020-12-31 00:00:00,1.8,8.465,4.065,1.078,0.074,9.045,11.795
2020-12-31 04:00:00,1.5,8.425,3.815,1.218,0.082,9.795,11.55
2020-12-31 08:00:00,1.5,8.385,3.915,1.339,0.086,10.25,11.355
2020-12-31 12:00:00,1.8,8.425,3.93,1.2755,0.0865,9.69,12.34
2020-12-31 16:00:00,2.15,8.48,3.82,1.273,0.0885,9.395,12.81
2020-12-31 20:00:00,1.65,8.47,3.77,1.309,0.0855,9.48,12.23
2021-01-01 00:00:00,1.6,8.44,3.535,1.2865,0.0825,9.51,11.89
2021-01-01 04:00:00,1.55,8.405,3.52,1.3365,0.085,9.75,11.59
2021-01-01 08:00:00,1.6,8.35,4.015,1.8505,0.12,10.78,11.135
2021-01-01 12:00:00,1.85,8.37,4.165,1.9205,0.1245,10.105,11.625
2021-01-01 16:00:00,2.25,8.41,4.095,1.54,0.0965,9.655,11.89
2021-01-01 20:00:00,1.7,8.43,3.825,1.3435,0.086,9.42,11.505
2021-01-02 00:00:00,1.55,8.42,3.725,1.483,0.0915,10.095,11.42
2021-01-02 04:00:00,1.5,8.385,3.62,1.6575,0.0955,10.38,11.265
2021-01-02 08:00:00,1.45,8.355,3.65,1.701,0.092,10.67,11.13
2021-01-02 12:00:00,1.9,8.39,3.675,1.738,0.095,10.325,11.93
2021-01-02 16:00:00,2.3,8.435,3.715,1.6185,0.091,10.065,12.38
2021-01-02 20:00:00,1.8,8.42,3.435,1.3925,0.0835,10.02,11.865
